metro,utility,eiaid,sector,name,label,startdate_iso,enddate_iso,voltagecategory,phasewiring,peakkwcapacitymin,peakkwcapacitymax,peakkwhusagemin,peakkwhusagemax,has_energy_tou,has_demand_structure,has_flat_demand,fixedchargefirstmeter,fixedchargeunits,demandrateunit,is_default,uri
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-19 Medium General Demand TOU (Secondary) Mandatory,69de8cd7f6f3fc67370d4e1d,2026-03-27,,Secondary,,500,999,,,1,1,1,58.62824,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de8cd7f6f3fc67370d4e1d
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-19 Medium General Demand TOU (Secondary) Voluntary,69de8cdb02f684104e01267d,2026-03-27,,Secondary,,500,999,,,1,1,1,11.36882,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de8cdb02f684104e01267d
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-19 Medium General Demand TOU (Transmission) Mandatory,69de8ceb02f684104e01267e,2026-03-27,,Secondary,,500,999,,,1,1,1,117.10726,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de8ceb02f684104e01267e
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-19 Medium General Demand TOU (Transmission) Voluntary,69de8cf1e547dde41109ee00,2026-03-27,,Secondary,,500,999,,,1,1,1,11.36882,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de8cf1e547dde41109ee00
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-19 Medium General Demand TOU Option R (Primary) Mandatory,69de91effef8e27e5706661d,2026-03-27,,Secondary,,500,999,,,1,1,1,87.34546,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de91effef8e27e5706661d
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-19 Medium General Demand TOU Option R (Primary) Voluntary,69de9241edea9919e60bad90,2026-03-27,,Secondary,,500,999,,,1,1,1,11.36882,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de9241edea9919e60bad90
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-19 Medium General Demand TOU Option R (Secondary) Mandatory,69de9159d203013bd602f35e,2026-03-27,,Secondary,,500,999,,,1,1,1,58.62824,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de9159d203013bd602f35e
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-19 Medium General Demand TOU Option R (Secondary) Voluntary,69de91d7a6e15ebd62035b3f,2026-03-27,,Secondary,,500,999,,,1,1,1,11.36882,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de91d7a6e15ebd62035b3f
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-19 Medium General Demand TOU Option R (Transmission) Mandatory,69de92556d1ebb0263094f0e,2026-03-27,,Secondary,,500,999,,,1,1,1,117.10726,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de92556d1ebb0263094f0e
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,B-19 Medium General Demand TOU Option R (Transmission) Voluntary,69de929a406310365e0f080f,2026-03-27,,Secondary,,500,999,,,1,1,1,11.36882,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de929a406310365e0f080f
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,E-19 Medium General Demand TOU (Primary),69de7fd257e73279b70d783d,2024-10-01,,Primary,,500,999,,,1,1,1,84.72358,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de7fd257e73279b70d783d
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,E-19 Medium General Demand TOU (Secondary),69de7e4cd600f18ec30600ac,2026-03-27,,Secondary,,500,999,,,1,1,1,57.11881,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de7e4cd600f18ec30600ac
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,E-19 Medium General Demand TOU (Transmission),69de804c1ae3be1716020eda,2026-03-27,,Transmission,,500,999,,,1,1,1,110.17006,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de804c1ae3be1716020eda
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,E-19 Medium General Demand TOU Option R (Primary),69de7c756d1ebb0263094f0d,2026-03-27,,Primary,,500,999,,,1,1,1,84.72358,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de7c756d1ebb0263094f0d
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,E-19 Medium General Demand TOU Option R (Secondary),69de7a20e547dde41109edff,2026-03-27,,Secondary,,500,999,,,1,1,1,51.11881,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69de7a20e547dde41109edff
San Jose / Bay Area,Pacific Gas & Electric Co,14328,Commercial,E-19 Medium General Demand TOU Option R (Transmission),69de7d02edea9919e60bad8e,2026-03-27,,Transmission,,500,999,,,1,1,1,110.17006,$/day,,False,https://apps.openei.org/IURDB/rate/view/69de7d02edea9919e60bad8e
Northern Virginia,Virginia Electric & Power Co,19876,Commercial,GS-3 (Large General Service Secondary Voltage),6997d57a8f47e2933e0d6f4c,2026-01-01,,,,500,,,,1,1,0,185.34,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/6997d57a8f47e2933e0d6f4c
Northern Virginia,Virginia Electric & Power Co,19876,Commercial,GS-4 (Large General Service Primary Voltage),69e99cf96746522c70079990,2026-01-01,,,,500,,,,1,1,0,343.54,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/69e99cf96746522c70079990
Northern Virginia,Virginia Electric & Power Co,19876,Industrial,GS-4 (Large General Service Transmission Voltage),6997d7cfaa5e5193ff0c8e59,2026-01-01,,Transmission,,500,,,,1,1,0,343.54,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/6997d7cfaa5e5193ff0c8e59
Northern Virginia,Virginia Electric & Power Co,19876,Commercial,Large General Service Primary (Schedule 10),6997dae6d3c1f5b8140d5aad,2026-01-01,,Primary,,500,,,,1,0,1,201.65,$/month,,False,https://apps.openei.org/IURDB/rate/view/6997dae6d3c1f5b8140d5aad
Northern Virginia,Virginia Electric & Power Co,19876,Commercial,Large General Service Secondary (Schedule 10),6997d9ec24c59a06a0022259,2026-01-01,,Secondary,,500,,,,1,0,1,201.65,$/month,,False,https://apps.openei.org/IURDB/rate/view/6997d9ec24c59a06a0022259
Atlanta,Georgia Power Co,7140,Industrial,Schedule PLL-18 Power & Light High Load Factor,677d9cb6f0e91dbd290014ed,2025-01-01,,Primary,3-Phase,500,,,,1,0,1,256,$/month,,False,https://apps.openei.org/IURDB/rate/view/677d9cb6f0e91dbd290014ed
Phoenix,Arizona Public Service Co,803,Industrial,Large General Service (E-32 L) Secondary,69a7103973cd4e90df052d4a,2026-02-01,,Secondary,,401,,,,1,1,0,4.238,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69a7103973cd4e90df052d4a
Phoenix,Arizona Public Service Co,803,Industrial,Large General Service (E-32 L) Primary,69a710dd5c7ca445150f156c,2026-02-01,,Primary,,400,,,,1,0,1,7.41,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69a710dd5c7ca445150f156c
Phoenix,Arizona Public Service Co,803,Industrial,Large General Service (E-32 L) Transmission,69a7112ecebe63c9250a13eb,2026-02-01,,Transmission,,400,,,,1,0,1,41.918,$/day,,False,https://apps.openei.org/IURDB/rate/view/69a7112ecebe63c9250a13eb
Phoenix,Arizona Public Service Co,803,Industrial,Large General Service TOU (E-32 L) Primary,69a711d2ac5ca652b3030919,2026-02-01,,Primary,,400,,,,1,1,0,7.41,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69a711d2ac5ca652b3030919
Phoenix,Arizona Public Service Co,803,Commercial,Large General Service TOU (E-32 L) Secondary,69a71159f0ddf5680f0728db,2026-02-01,,Secondary,,400,,,,1,1,0,4.238,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69a71159f0ddf5680f0728db
Phoenix,Arizona Public Service Co,803,Industrial,Large General Service TOU (E-32 L) Transmission,69a7120819740ca273013b0a,2026-02-01,,Transmission,,400,,,,1,1,0,41.918,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69a7120819740ca273013b0a
Austin,Austin Energy,1015,Commercial,Commercial - Secondary Voltage Greater than 300kW - Inside,68b7b23b21cf9a2f810d7c9a,2025-05-01,,Secondary,,300,,,,1,0,1,286.11,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/68b7b23b21cf9a2f810d7c9a
Austin,Austin Energy,1015,Commercial,Commercial - Secondary Voltage Greater than 300kW - Outside Austin,68b7b79c922a13f3210cf51a,2025-05-01,,Secondary,,300,,,,1,0,1,286.11,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/68b7b79c922a13f3210cf51a
Phoenix,Arizona Public Service Co,803,Commercial,Medium General Service (E-32 M) Primary,69a7173dfa9f85542e00de2a,2026-02-01,,Primary,,100,400,,,1,1,0,5.484,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69a7173dfa9f85542e00de2a
Phoenix,Arizona Public Service Co,803,Commercial,Medium General Service (E-32 M) Secondary,69a71685d189752a6d0863a8,2026-02-01,,Secondary,,100,400,,,1,1,0,2.238,$/month,kW,False,https://apps.openei.org/IURDB/rate/view/69a71685d189752a6d0863a8
Phoenix,Arizona Public Service Co,803,Commercial,Medium General Service (E-32 M) Transmission,69a7176639f0352b510c1e1a,2026-02-01,,Transmission,,100,400,,,1,1,0,39.88,$/day,kW,False,https://apps.openei.org/IURDB/rate/view/69a7176639f0352b510c1e1a
